,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
2448,uk,2023,phishing,telecommunications,57.25,115138.0,unpatched software,encryption,42.0,55.2
2449,japan,2020,phishing,it,51.41,786468.0,social engineering,ai based detection,37.0,19.38
2450,india,2020,phishing,retail,5.11,620560.0,weak passwords,antivirus,59.0,13.81
2451,uk,2017,malware,government,56.74,976007.0,social engineering,antivirus,59.0,55.2
2452,france,2016,ddos,education,46.58,361163.0,zero day,firewall,38.0,55.2
2453,brazil,2017,ransomware,healthcare,54.78,469735.0,zero day,encryption,57.0,55.2
2454,usa,2015,man-in-the-middle,it,46.27,117231.0,zero day,ai based detection,28.0,151.88
2455,germany,2018,ransomware,healthcare,14.38,276925.0,zero day,vpn,54.0,508.2
2456,uk,2019,malware,telecommunications,37.3,208089.0,zero day,antivirus,33.0,55.2
2457,australia,2020,phishing,telecommunications,51.41,502006.5,zero day,antivirus,21.0,78.19
2458,uk,2024,phishing,telecommunications,35.62,236676.0,social engineering,antivirus,67.0,115.53
2459,india,2024,man-in-the-middle,telecommunications,93.46,502006.5,weak passwords,antivirus,18.0,55.2
2460,japan,2020,phishing,it,51.41,612815.0,zero day,antivirus,12.0,55.2
2461,russia,2018,sql injection,telecommunications,11.32,153618.0,zero day,vpn,29.0,166.34
2462,india,2023,ransomware,banking,57.15,502006.5,zero day,antivirus,37.0,112.55
2463,china,2020,phishing,it,51.41,502006.5,zero day,vpn,2.0,8.53
2464,uk,2024,ddos,healthcare,4.08,488599.0,social engineering,encryption,11.0,201.09
2465,france,2020,ransomware,healthcare,80.73,502006.5,weak passwords,vpn,47.0,55.2
2466,germany,2018,man-in-the-middle,it,48.96,323027.0,unpatched software,encryption,49.0,17.38
2467,uk,2023,man-in-the-middle,education,10.55,12970.0,social engineering,antivirus,37.0,57.8
2468,uk,2020,man-in-the-middle,government,50.19,659835.0,zero day,antivirus,46.0,152.17
2469,china,2020,phishing,telecommunications,66.92,336320.0,social engineering,antivirus,51.0,55.2
2470,china,2017,man-in-the-middle,banking,51.41,83617.0,unpatched software,ai based detection,64.0,273.0
2471,brazil,2018,malware,banking,87.13,99178.0,unpatched software,antivirus,37.0,55.2
2472,uk,2024,ransomware,education,80.1,502006.5,unpatched software,antivirus,41.0,55.2
2473,russia,2017,phishing,telecommunications,2.22,502006.5,zero day,firewall,45.0,6.88
2474,usa,2020,ddos,healthcare,38.14,846602.0,weak passwords,firewall,31.0,86.12
2475,india,2020,malware,government,61.02,650042.0,unpatched software,antivirus,48.0,161.15
2476,japan,2019,man-in-the-middle,government,61.01,549197.0,social engineering,antivirus,59.0,55.2
2477,france,2020,phishing,it,15.49,138639.0,unpatched software,vpn,14.0,482.94
2478,australia,2024,man-in-the-middle,healthcare,51.41,833819.0,unpatched software,antivirus,14.0,7.33
2479,uk,2022,malware,retail,13.88,502006.5,zero day,ai based detection,71.0,154.37
2480,uk,2017,phishing,banking,11.25,636273.0,zero day,antivirus,30.0,22.0
2481,uk,2020,man-in-the-middle,banking,51.41,502006.5,social engineering,firewall,43.0,719.87
2482,uk,2015,phishing,telecommunications,89.41,488342.0,unpatched software,firewall,23.0,1084.39
2483,france,2019,phishing,it,51.41,526220.0,social engineering,ai based detection,2.0,17.29
2484,usa,2023,ddos,education,90.38,311596.0,weak passwords,vpn,23.0,23.94
2485,brazil,2024,phishing,retail,51.41,658226.0,weak passwords,vpn,52.0,55.2
2486,india,2019,phishing,education,6.29,344693.0,social engineering,encryption,19.0,30.55
2487,france,2016,phishing,education,37.57,380995.0,weak passwords,vpn,60.0,51.0
2488,brazil,2018,malware,banking,3.1,502006.5,zero day,ai based detection,31.0,56.72
2489,uk,2022,man-in-the-middle,education,51.41,581034.0,zero day,vpn,67.0,3.07
2490,russia,2019,ransomware,retail,19.97,502006.5,social engineering,encryption,14.0,53.48
2491,brazil,2024,phishing,it,28.78,793783.0,social engineering,firewall,37.0,19.4
2492,china,2023,sql injection,it,53.21,620822.0,zero day,firewall,21.0,55.2
2493,russia,2020,ransomware,healthcare,16.6,715102.0,zero day,antivirus,2.0,476.01
2494,russia,2021,man-in-the-middle,banking,44.32,502006.5,zero day,antivirus,54.0,8.29
2495,japan,2021,ransomware,government,10.34,791473.0,weak passwords,firewall,58.0,184.9
2496,china,2022,phishing,it,41.81,631816.0,weak passwords,antivirus,29.0,35.93
2497,germany,2020,phishing,banking,84.54,517353.0,social engineering,antivirus,41.0,35.89
2498,japan,2015,malware,telecommunications,40.38,118734.0,unpatched software,ai based detection,21.0,178.67
2499,india,2020,man-in-the-middle,education,39.15,963367.0,zero day,encryption,50.0,90.93
2500,uk,2020,phishing,telecommunications,22.51,502006.5,zero day,antivirus,37.0,55.2
2501,brazil,2017,ransomware,government,58.18,824704.0,zero day,antivirus,37.0,233.29
2502,uk,2023,man-in-the-middle,banking,92.48,1326.0,social engineering,antivirus,11.0,33.22
2503,uk,2015,phishing,banking,51.38,630931.0,zero day,antivirus,48.0,55.2
2504,germany,2016,phishing,government,93.61,395731.0,zero day,ai based detection,64.0,10.72
2505,australia,2017,ransomware,government,27.38,918816.0,zero day,ai based detection,58.0,55.2
2506,australia,2021,malware,healthcare,74.61,502006.5,weak passwords,antivirus,37.0,55.2
2507,uk,2019,phishing,it,78.84,464960.0,zero day,encryption,24.0,353.19
2508,usa,2020,phishing,telecommunications,65.7,502006.5,unpatched software,vpn,3.0,7.2
2509,brazil,2017,phishing,it,81.04,850794.0,social engineering,antivirus,69.0,7.51
2510,france,2015,man-in-the-middle,banking,27.2,502006.5,unpatched software,vpn,37.0,112.48
2511,china,2018,ddos,healthcare,86.38,685136.0,weak passwords,antivirus,37.0,124.08
2512,brazil,2016,malware,education,83.93,502006.5,weak passwords,firewall,17.0,55.2
2513,france,2022,phishing,healthcare,40.36,439046.0,social engineering,vpn,42.0,37.25
2514,usa,2019,sql injection,it,51.41,51312.0,zero day,ai based detection,26.0,45.23
2515,brazil,2022,ransomware,retail,1.42,510870.0,unpatched software,antivirus,35.0,55.2
2516,russia,2021,sql injection,government,66.5,348118.0,zero day,vpn,37.0,62.11
2517,australia,2016,ransomware,healthcare,47.18,509930.0,social engineering,ai based detection,37.0,1.96
2518,uk,2016,ransomware,it,58.99,822380.0,zero day,firewall,26.0,38.68
2519,germany,2022,sql injection,it,52.91,619669.0,unpatched software,antivirus,19.0,15.22
2520,australia,2023,sql injection,telecommunications,51.41,341111.0,weak passwords,vpn,14.0,55.2
2521,france,2020,ransomware,government,2.79,443730.0,weak passwords,antivirus,37.0,4807.29
2522,japan,2020,ddos,it,27.76,824968.0,zero day,encryption,37.0,94.75
2523,japan,2016,man-in-the-middle,it,58.77,172346.0,social engineering,ai based detection,51.0,34.11
2524,germany,2022,ddos,telecommunications,51.95,919855.0,zero day,antivirus,56.0,217.61
2525,germany,2021,man-in-the-middle,it,90.57,502006.5,social engineering,ai based detection,5.0,55.2
2526,france,2022,phishing,retail,51.41,724409.0,weak passwords,antivirus,56.0,102.53
2527,uk,2018,phishing,healthcare,95.3,269142.0,zero day,encryption,72.0,135.68
2528,india,2020,phishing,retail,92.48,32067.0,unpatched software,antivirus,19.0,55.2
2529,germany,2020,malware,government,32.2,591314.0,zero day,encryption,65.0,55.2
2530,germany,2019,sql injection,healthcare,91.72,149171.0,zero day,vpn,64.0,55.2
2531,brazil,2016,ddos,it,13.52,535205.0,social engineering,ai based detection,53.0,55.2
2532,germany,2022,ransomware,education,87.93,471889.0,zero day,antivirus,4.0,125.62
2533,france,2019,phishing,healthcare,52.18,869751.0,zero day,firewall,12.0,13.76
2534,russia,2017,phishing,education,50.42,502006.5,weak passwords,antivirus,37.0,29.19
2535,brazil,2020,ransomware,healthcare,32.9,433987.0,zero day,ai based detection,21.0,55.2
2536,uk,2017,phishing,banking,1.54,502006.5,social engineering,firewall,56.0,235.97
2537,australia,2020,malware,it,32.26,824433.0,unpatched software,ai based detection,60.0,55.2
2538,germany,2023,man-in-the-middle,retail,51.41,651963.0,unpatched software,ai based detection,53.0,8.43
2539,france,2017,phishing,education,81.06,349070.0,zero day,antivirus,41.0,59.29
2540,usa,2024,malware,telecommunications,71.42,967411.0,social engineering,antivirus,47.0,55.2
2541,uk,2021,phishing,retail,64.81,263770.0,social engineering,antivirus,62.0,8.27
2542,uk,2016,phishing,retail,85.89,502006.5,weak passwords,vpn,37.0,39.43
2543,usa,2021,ddos,it,47.84,498904.0,zero day,antivirus,65.0,34.37
2544,usa,2024,phishing,education,47.95,569539.0,weak passwords,encryption,18.0,2079.9
2545,china,2016,man-in-the-middle,retail,82.52,217938.0,weak passwords,vpn,69.0,104.53
2546,china,2022,ransomware,it,36.48,172607.0,zero day,vpn,60.0,6.91
2547,india,2023,man-in-the-middle,it,51.41,424762.0,zero day,vpn,10.0,23.4
2548,japan,2019,man-in-the-middle,it,51.41,130309.0,zero day,ai based detection,37.0,252.67
2549,uk,2018,ddos,government,65.11,502006.5,zero day,antivirus,67.0,1252.21
2550,uk,2020,phishing,it,53.95,920801.0,zero day,antivirus,37.0,5.06
2551,japan,2020,man-in-the-middle,retail,91.36,551038.0,social engineering,firewall,21.0,3.25
2552,china,2016,phishing,telecommunications,51.41,962508.0,social engineering,ai based detection,13.0,55.2
2553,france,2020,phishing,healthcare,92.29,267554.0,zero day,firewall,45.0,97.95
2554,uk,2020,ransomware,it,25.3,76258.0,social engineering,vpn,37.0,14.84
2555,uk,2016,malware,banking,3.6,661377.0,weak passwords,antivirus,66.0,121.75
2556,australia,2022,sql injection,retail,56.62,310341.0,weak passwords,encryption,37.0,1.05
2557,russia,2017,phishing,education,66.25,702883.0,unpatched software,vpn,31.0,54.88
2558,usa,2017,phishing,education,78.38,516103.0,unpatched software,firewall,37.0,89.28
2559,uk,2020,malware,retail,51.41,542283.0,zero day,firewall,64.0,218.42
2560,russia,2016,sql injection,government,43.75,173441.0,social engineering,antivirus,43.0,11.93
2561,france,2017,ddos,it,67.36,856228.0,zero day,encryption,47.0,62.09
2562,uk,2019,malware,it,51.41,791265.0,social engineering,firewall,65.0,13.62
2563,usa,2019,malware,retail,45.42,502006.5,social engineering,firewall,63.0,80.08
2564,russia,2020,phishing,telecommunications,95.0,338867.0,unpatched software,ai based detection,34.0,14.25
2565,japan,2018,phishing,government,44.98,502006.5,weak passwords,vpn,25.0,29.6
2566,usa,2022,phishing,it,50.4,34584.0,zero day,firewall,43.0,12.26
2567,brazil,2020,malware,education,74.37,298836.0,social engineering,encryption,37.0,145.0
2568,brazil,2018,phishing,retail,51.41,526161.0,zero day,ai based detection,37.0,197.88
2569,brazil,2020,phishing,government,76.95,502006.5,social engineering,vpn,44.0,38.4
2570,china,2017,phishing,banking,29.39,502006.5,zero day,encryption,18.0,57.82
2571,japan,2022,malware,it,1.92,2653.0,unpatched software,ai based detection,56.0,6.22
2572,uk,2024,ransomware,healthcare,90.37,540353.0,unpatched software,antivirus,68.0,34.83
2573,germany,2015,phishing,retail,84.77,779922.0,zero day,antivirus,37.0,50.64
2574,germany,2016,ransomware,it,24.4,502006.5,weak passwords,ai based detection,46.0,2782.74
2575,russia,2021,man-in-the-middle,it,51.41,502006.5,zero day,firewall,20.0,10.3
2576,india,2023,phishing,it,9.95,317488.0,social engineering,antivirus,46.0,55.2
2577,brazil,2024,phishing,it,51.41,502006.5,unpatched software,ai based detection,26.0,55.2
2578,uk,2018,ransomware,it,61.42,211305.0,zero day,encryption,37.0,83.18
2579,uk,2024,ddos,government,51.41,502006.5,unpatched software,firewall,32.0,763.51
2580,russia,2020,ransomware,it,11.11,785179.0,weak passwords,vpn,2.0,95.41
2581,uk,2022,phishing,telecommunications,1.99,652682.0,social engineering,encryption,46.0,97.88
2582,brazil,2022,phishing,banking,5.85,52649.0,zero day,antivirus,57.0,50.42
2583,germany,2024,man-in-the-middle,government,45.75,865871.0,weak passwords,antivirus,58.0,342.19
2584,russia,2022,ddos,retail,93.71,474552.0,zero day,encryption,20.0,282.79
2585,uk,2024,sql injection,healthcare,5.7,400840.0,zero day,antivirus,57.0,55.2
2586,uk,2020,phishing,education,51.41,502006.5,social engineering,firewall,69.0,7.55
2587,brazil,2021,ddos,retail,89.79,454088.0,social engineering,vpn,70.0,40.27
2588,france,2018,phishing,government,30.68,338619.0,unpatched software,antivirus,68.0,55.2
2589,brazil,2020,malware,banking,31.56,502006.5,zero day,antivirus,24.0,49.64
2590,uk,2020,ddos,it,98.73,17805.0,weak passwords,antivirus,31.0,349.38
2591,japan,2020,phishing,telecommunications,92.13,502006.5,zero day,antivirus,37.0,27.5
2592,uk,2020,phishing,retail,71.14,198602.0,zero day,firewall,18.0,51.2
2593,india,2023,ddos,retail,73.85,504861.0,zero day,antivirus,65.0,59.56
2594,uk,2016,malware,telecommunications,91.24,695618.0,social engineering,antivirus,14.0,194.93
2595,uk,2022,man-in-the-middle,healthcare,5.4,270732.0,zero day,firewall,31.0,1.88
2596,uk,2015,phishing,retail,77.58,502006.5,zero day,firewall,24.0,21.98
2597,russia,2020,phishing,government,51.41,827534.0,unpatched software,firewall,37.0,74.96
2598,uk,2020,man-in-the-middle,retail,46.07,32499.0,zero day,antivirus,14.0,330.34
2599,russia,2016,phishing,telecommunications,51.41,502006.5,unpatched software,vpn,37.0,26.11
2600,germany,2017,ransomware,telecommunications,49.56,119598.0,unpatched software,encryption,43.0,3.27
2601,germany,2016,sql injection,it,61.78,502006.5,weak passwords,ai based detection,30.0,138.32
2602,brazil,2020,phishing,education,51.41,656031.0,social engineering,encryption,36.0,21.05
2603,china,2022,ransomware,education,85.72,637259.0,zero day,vpn,57.0,55.2
2604,russia,2023,sql injection,education,0.98,623106.0,zero day,firewall,37.0,55.2
2605,india,2015,ddos,education,21.74,513867.0,zero day,firewall,34.0,41.4
2606,uk,2020,phishing,healthcare,7.54,710871.0,zero day,firewall,55.0,55.2
2607,india,2020,malware,healthcare,7.08,875225.0,zero day,antivirus,31.0,2.0
2608,germany,2024,malware,it,51.41,989625.0,social engineering,firewall,53.0,209.68
2609,china,2016,ddos,education,89.08,210433.0,zero day,ai based detection,63.0,369.56
2610,usa,2018,phishing,it,26.31,709153.0,weak passwords,vpn,37.0,145.08
2611,uk,2020,phishing,it,21.11,568832.0,social engineering,firewall,37.0,9.91
2612,china,2022,phishing,retail,51.76,355545.0,weak passwords,antivirus,68.0,40.36
2613,germany,2019,phishing,it,90.91,112635.0,weak passwords,firewall,55.0,54.07
2614,brazil,2020,sql injection,banking,89.39,988268.0,zero day,antivirus,44.0,134.05
2615,india,2021,malware,education,51.41,357399.0,zero day,encryption,2.0,148.79
2616,japan,2018,man-in-the-middle,government,78.16,512258.0,weak passwords,encryption,32.0,18.15
2617,australia,2024,ransomware,healthcare,24.21,180760.0,weak passwords,encryption,34.0,61.74
2618,usa,2023,man-in-the-middle,retail,81.16,502006.5,zero day,antivirus,17.0,108.41
2619,russia,2019,ransomware,it,80.18,123757.0,zero day,encryption,54.0,484.8
2620,uk,2018,ddos,it,70.0,502006.5,zero day,ai based detection,46.0,157.08
2621,uk,2022,ddos,education,9.73,907708.0,zero day,ai based detection,37.0,178.32
2622,australia,2015,phishing,healthcare,4.49,713160.0,unpatched software,antivirus,26.0,61.91
2623,uk,2022,phishing,banking,51.41,239200.0,social engineering,antivirus,8.0,452.91
2624,china,2016,phishing,healthcare,63.15,500521.0,weak passwords,antivirus,27.0,55.2
2625,india,2015,phishing,it,25.47,502006.5,unpatched software,antivirus,18.0,15.0
2626,japan,2021,sql injection,education,3.97,502006.5,zero day,antivirus,40.0,55.2
2627,uk,2023,sql injection,it,19.17,697610.0,weak passwords,encryption,18.0,155.53
2628,germany,2022,sql injection,it,58.35,730850.0,weak passwords,ai based detection,37.0,28.09
2629,australia,2018,sql injection,it,65.08,417807.0,zero day,firewall,46.0,26.6
2630,india,2020,malware,healthcare,51.41,58205.0,unpatched software,encryption,63.0,85.19
2631,india,2016,sql injection,healthcare,33.11,830670.0,social engineering,antivirus,37.0,55.2
2632,brazil,2024,phishing,government,57.7,502006.5,weak passwords,antivirus,41.0,73.4
2633,uk,2020,ransomware,retail,51.41,498089.0,weak passwords,encryption,37.0,87.09
2634,china,2015,ransomware,it,86.82,748040.0,weak passwords,firewall,18.0,699.2
2635,uk,2018,ransomware,healthcare,4.51,909979.0,social engineering,vpn,65.0,272.41
2636,australia,2020,man-in-the-middle,banking,51.41,286038.0,social engineering,encryption,43.0,72.67
2637,russia,2020,sql injection,retail,51.41,502006.5,zero day,ai based detection,8.0,224.07
2638,uk,2020,phishing,banking,42.03,454763.0,social engineering,antivirus,14.0,11.6
2639,uk,2020,phishing,telecommunications,33.85,60183.0,unpatched software,ai based detection,17.0,99.18
2640,uk,2020,phishing,education,94.6,596801.0,weak passwords,antivirus,70.0,823.83
2641,china,2021,ransomware,it,71.9,698786.0,zero day,antivirus,21.0,39.37
2642,japan,2021,ddos,telecommunications,94.23,441749.0,unpatched software,ai based detection,55.0,15.31
2643,china,2018,sql injection,healthcare,76.4,966102.0,zero day,antivirus,1.0,20.53
2644,india,2017,malware,it,51.41,430200.0,zero day,antivirus,37.0,55.2
2645,uk,2023,ransomware,banking,49.89,502006.5,social engineering,antivirus,47.0,16.82
2646,uk,2020,ddos,healthcare,81.91,127817.0,weak passwords,antivirus,66.0,31.32
2647,brazil,2017,man-in-the-middle,government,14.54,491794.0,zero day,encryption,4.0,55.2
2648,germany,2024,ransomware,it,33.44,737958.0,social engineering,antivirus,54.0,55.2
2649,australia,2017,phishing,education,51.41,724207.0,weak passwords,firewall,54.0,211.33
2650,germany,2018,phishing,healthcare,78.11,451780.0,unpatched software,vpn,37.0,13.99
2651,india,2016,phishing,healthcare,8.25,502006.5,zero day,ai based detection,20.0,55.2
2652,brazil,2018,malware,it,17.52,502006.5,weak passwords,antivirus,33.0,55.2
2653,australia,2023,ddos,it,81.89,525978.0,weak passwords,antivirus,12.0,55.2
2654,uk,2016,phishing,retail,37.29,761252.0,weak passwords,vpn,57.0,20.35
2655,uk,2017,phishing,government,51.41,168075.0,social engineering,ai based detection,52.0,196.72
2656,japan,2015,phishing,banking,6.57,502006.5,weak passwords,encryption,37.0,10.61
2657,uk,2018,ddos,it,51.41,60917.0,zero day,vpn,1.0,207.55
2658,uk,2017,man-in-the-middle,it,59.54,839892.0,weak passwords,encryption,20.0,70.65
2659,brazil,2021,ransomware,government,72.14,673933.0,zero day,ai based detection,22.0,125.2
2660,usa,2021,phishing,education,84.64,502006.5,social engineering,antivirus,49.0,55.2
2661,uk,2020,ddos,education,32.2,49715.0,unpatched software,antivirus,72.0,14.26
2662,china,2022,sql injection,banking,1.16,297461.0,zero day,firewall,37.0,133.73
2663,uk,2021,phishing,healthcare,48.71,861410.0,social engineering,vpn,7.0,13.16
2664,uk,2016,ddos,it,14.28,547178.0,social engineering,firewall,45.0,109.38
2665,japan,2020,phishing,it,37.38,502006.5,weak passwords,antivirus,6.0,7.02
2666,brazil,2023,phishing,it,23.01,195113.0,unpatched software,encryption,4.0,194.86
2667,china,2018,man-in-the-middle,banking,9.77,502006.5,unpatched software,ai based detection,3.0,8.6
2668,usa,2020,phishing,government,51.41,146937.0,zero day,antivirus,10.0,125.02
2669,russia,2016,phishing,it,11.29,72191.0,weak passwords,antivirus,37.0,139.55
2670,uk,2022,man-in-the-middle,government,90.65,898589.0,zero day,ai based detection,58.0,19.2
2671,japan,2020,malware,telecommunications,30.66,430306.0,weak passwords,vpn,67.0,130.72
2672,australia,2022,phishing,it,27.02,835814.0,weak passwords,encryption,40.0,80.69
2673,russia,2015,sql injection,it,56.07,837322.0,zero day,ai based detection,25.0,24.33
2674,russia,2019,sql injection,it,51.41,502006.5,zero day,antivirus,23.0,12.03
2675,usa,2024,man-in-the-middle,government,96.13,482492.0,social engineering,encryption,17.0,2.88
2676,china,2022,ddos,it,88.61,777010.0,weak passwords,antivirus,34.0,92.25
2677,germany,2021,ddos,it,73.5,806210.0,weak passwords,antivirus,37.0,5.22
2678,china,2024,malware,government,1.17,281616.0,unpatched software,encryption,37.0,62.99
2679,uk,2023,ransomware,banking,42.02,827952.0,unpatched software,ai based detection,21.0,36.78
2680,usa,2020,phishing,retail,59.15,502006.5,zero day,vpn,27.0,151.22
2681,uk,2022,phishing,retail,26.63,725905.0,zero day,vpn,37.0,34.71
2682,uk,2016,phishing,it,30.49,723411.0,weak passwords,ai based detection,37.0,33.31
2683,india,2024,malware,banking,14.01,141437.0,weak passwords,antivirus,10.0,163.66
2684,uk,2019,ddos,government,49.88,502006.5,zero day,firewall,40.0,90.25
2685,japan,2020,phishing,telecommunications,4.84,936738.0,weak passwords,antivirus,8.0,87.73
2686,usa,2024,malware,education,75.51,822636.0,social engineering,antivirus,37.0,110.38
2687,australia,2020,malware,banking,51.41,843891.0,weak passwords,antivirus,31.0,5.46
2688,uk,2020,ddos,healthcare,6.37,82576.0,weak passwords,vpn,40.0,55.2
2689,france,2024,phishing,banking,97.53,759522.0,weak passwords,vpn,39.0,136.83
2690,uk,2024,phishing,banking,12.22,860343.0,zero day,antivirus,42.0,11.88
2691,australia,2023,malware,government,55.72,14483.0,weak passwords,antivirus,37.0,37.86
2692,japan,2023,malware,telecommunications,51.41,871255.0,zero day,ai based detection,24.0,51.47
2693,uk,2019,man-in-the-middle,government,98.86,502006.5,zero day,encryption,48.0,55.2
2694,australia,2024,phishing,education,74.75,109907.0,social engineering,vpn,37.0,90.09
2695,brazil,2020,phishing,it,89.11,749386.0,unpatched software,antivirus,16.0,55.2
2696,uk,2018,malware,telecommunications,51.41,502006.5,zero day,firewall,32.0,55.2
2697,france,2024,phishing,it,49.75,943151.0,zero day,vpn,37.0,55.2
2698,usa,2019,malware,education,1.05,93580.0,zero day,antivirus,21.0,138.81
2699,china,2019,malware,retail,26.66,502006.5,zero day,antivirus,60.0,55.2
2700,usa,2024,malware,it,51.41,28436.0,unpatched software,antivirus,66.0,55.2
2701,france,2015,phishing,healthcare,41.92,383484.0,zero day,antivirus,37.0,55.2
2702,germany,2017,ddos,telecommunications,40.05,27446.0,zero day,ai based detection,13.0,1117.0
2703,japan,2020,phishing,healthcare,73.13,39276.0,unpatched software,firewall,29.0,253.55
2704,brazil,2024,sql injection,it,33.94,88304.0,zero day,encryption,41.0,55.2
2705,brazil,2020,malware,government,4.95,281096.0,zero day,ai based detection,2.0,261.81
2706,uk,2018,sql injection,banking,50.23,502006.5,zero day,antivirus,12.0,67.85
2707,uk,2016,malware,banking,51.41,848188.0,unpatched software,vpn,12.0,56.59
2708,india,2016,phishing,it,70.24,502006.5,unpatched software,antivirus,37.0,32.23
2709,france,2019,ddos,telecommunications,51.41,835349.0,unpatched software,vpn,8.0,569.71
2710,uk,2020,sql injection,banking,64.25,877560.0,weak passwords,encryption,61.0,16.0
2711,germany,2016,man-in-the-middle,government,58.93,249279.0,weak passwords,vpn,58.0,543.78
2712,japan,2017,ransomware,government,9.24,126143.0,weak passwords,antivirus,35.0,115.56
2713,france,2021,phishing,government,51.41,502006.5,unpatched software,firewall,19.0,55.2
2714,uk,2020,sql injection,education,85.12,732802.0,zero day,antivirus,62.0,94.77
2715,usa,2019,ddos,telecommunications,12.13,502006.5,unpatched software,encryption,44.0,2.34
2716,china,2019,man-in-the-middle,telecommunications,6.24,739538.0,zero day,encryption,5.0,139.53
2717,uk,2016,phishing,retail,17.98,251689.0,social engineering,antivirus,1.0,205.99
2718,uk,2015,malware,education,75.2,461291.0,zero day,ai based detection,5.0,22.45
2719,uk,2021,man-in-the-middle,banking,71.88,502006.5,weak passwords,vpn,40.0,65.71
2720,uk,2024,man-in-the-middle,retail,12.62,502006.5,weak passwords,firewall,37.0,1023.76
2721,brazil,2020,malware,government,79.56,334916.0,weak passwords,firewall,37.0,25.57
2722,uk,2019,man-in-the-middle,it,35.37,384185.0,zero day,firewall,37.0,55.2
2723,uk,2016,phishing,education,98.72,6670.0,social engineering,vpn,24.0,503.96
2724,uk,2016,man-in-the-middle,it,62.08,502006.5,social engineering,encryption,37.0,1036.79
2725,russia,2016,ransomware,banking,28.79,183711.0,zero day,encryption,37.0,54.9
2726,france,2015,malware,retail,83.45,573985.0,weak passwords,ai based detection,37.0,248.94
2727,uk,2018,ddos,healthcare,88.04,675172.0,weak passwords,antivirus,43.0,408.39
2728,uk,2020,ddos,government,35.76,716770.0,unpatched software,encryption,2.0,17.93
2729,australia,2016,ddos,it,43.19,825866.0,weak passwords,firewall,37.0,55.2
2730,usa,2019,phishing,healthcare,92.43,206631.0,zero day,antivirus,37.0,55.2
2731,germany,2016,phishing,banking,40.18,502006.5,weak passwords,encryption,43.0,683.7
2732,japan,2018,phishing,it,48.91,322255.0,zero day,ai based detection,41.0,127.02
2733,uk,2021,ransomware,telecommunications,51.41,16106.0,zero day,firewall,29.0,14.59
2734,uk,2021,man-in-the-middle,education,51.43,502006.5,zero day,vpn,11.0,1075.55
2735,japan,2020,phishing,banking,12.42,502006.5,unpatched software,encryption,4.0,24.62
2736,usa,2020,sql injection,it,98.91,995462.0,unpatched software,firewall,33.0,33.03
2737,russia,2015,ransomware,telecommunications,64.68,716832.0,zero day,vpn,67.0,91.24
2738,usa,2015,malware,retail,51.41,502006.5,unpatched software,ai based detection,45.0,561.85
2739,france,2020,ddos,it,52.09,362499.0,unpatched software,encryption,4.0,196.56
2740,india,2020,phishing,it,26.01,274512.0,weak passwords,ai based detection,69.0,101.73
2741,germany,2017,malware,government,51.41,502006.5,social engineering,ai based detection,27.0,55.2
2742,australia,2024,phishing,telecommunications,51.41,297456.0,zero day,vpn,20.0,58.28
2743,russia,2015,ransomware,government,2.73,465465.0,unpatched software,antivirus,60.0,126.12
2744,india,2023,man-in-the-middle,it,58.9,24387.0,unpatched software,encryption,29.0,55.2
2745,france,2020,man-in-the-middle,it,35.12,871001.0,zero day,antivirus,39.0,55.2
2746,brazil,2019,malware,it,51.41,989421.0,zero day,firewall,46.0,78.41
2747,france,2015,phishing,retail,84.86,502006.5,zero day,ai based detection,69.0,9.71
2748,uk,2020,sql injection,it,63.56,3324.0,zero day,encryption,65.0,97.46
2749,uk,2024,malware,retail,51.41,851177.0,unpatched software,encryption,37.0,55.2
2750,russia,2020,phishing,healthcare,35.11,477346.0,social engineering,firewall,8.0,55.2
2751,usa,2020,phishing,it,49.73,386686.0,zero day,antivirus,7.0,577.97
2752,russia,2020,ddos,banking,51.41,922456.0,zero day,vpn,67.0,27.15
2753,china,2021,phishing,it,84.09,954379.0,social engineering,vpn,59.0,43.54
2754,germany,2024,phishing,telecommunications,51.41,502006.5,weak passwords,antivirus,37.0,55.2
2755,india,2018,malware,education,51.41,197323.0,social engineering,antivirus,47.0,27.73
2756,india,2016,malware,it,34.78,502006.5,zero day,antivirus,43.0,73.15
2757,uk,2022,man-in-the-middle,it,51.41,191263.0,zero day,encryption,68.0,17.51
2758,france,2020,ransomware,healthcare,51.41,332214.0,social engineering,antivirus,16.0,10.01
2759,china,2024,man-in-the-middle,government,56.26,196531.0,zero day,firewall,45.0,138.94
2760,brazil,2021,phishing,it,4.34,502006.5,unpatched software,encryption,46.0,140.37
2761,russia,2021,ransomware,healthcare,51.41,920121.0,social engineering,antivirus,21.0,16.34
2762,australia,2021,sql injection,it,4.52,502006.5,zero day,antivirus,16.0,209.15
2763,france,2017,ransomware,it,51.41,760590.0,weak passwords,encryption,37.0,21.17
2764,uk,2020,man-in-the-middle,government,45.16,569044.0,zero day,antivirus,27.0,55.2
2765,france,2020,sql injection,government,51.41,841324.0,weak passwords,encryption,8.0,186.89
2766,japan,2022,phishing,it,51.41,668679.0,social engineering,vpn,27.0,51.91
2767,india,2020,sql injection,banking,27.86,310150.0,unpatched software,ai based detection,21.0,108.0
