country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb,severity_kmeans,country_encoded,attack type_encoded,target industry_encoded,security vulnerability type_encoded,defense mechanism used_encoded,severity_kmeans_encoded
japan,2023,phishing,education,68.28,502006.5,zero day,antivirus,44.0,122.53,High,50.60352348993288,50.854168128888176,48.46954841946814,50.73063247408982,51.08555063478004,69.99341233766233
uk,2020,ddos,banking,51.41,502006.5,weak passwords,antivirus,32.0,11.52,Medium,50.7941619047619,52.0362353858145,51.34587037037037,50.6939484857062,51.08555063478004,48.46779490529065
france,2015,phishing,retail,44.29,427167.0,unpatched software,encryption,11.0,55.2,Medium,49.647629427792914,50.854168128888176,50.93712900096993,50.39994936708861,50.98364175977653,48.46779490529065
australia,2023,ransomware,it,41.54,502006.5,zero day,ai based detection,42.0,14.68,Medium,52.26311760612387,50.373152852977924,50.97536605796616,50.73063247408982,50.74505869797225,48.46779490529065
uk,2019,phishing,telecommunications,90.67,902952.0,weak passwords,encryption,8.0,6.86,Critical,50.7941619047619,50.854168128888176,51.06955882352941,50.6939484857062,50.98364175977653,89.91338255033557
usa,2023,ransomware,it,34.94,632075.0,social engineering,antivirus,64.0,55.2,Medium,51.606640173410405,50.373152852977924,50.97536605796616,51.27242457487658,51.08555063478004,48.46779490529065
france,2017,sql injection,healthcare,83.73,728486.0,social engineering,encryption,61.0,957.31,Critical,49.647629427792914,50.24415149006622,50.03413125590179,51.27242457487658,50.98364175977653,89.91338255033557
australia,2020,phishing,education,64.62,109439.0,zero day,antivirus,32.0,6.7,High,52.26311760612387,50.854168128888176,48.46954841946814,50.73063247408982,51.08555063478004,69.99341233766233
india,2018,malware,education,86.38,1174.0,zero day,vpn,23.0,127.03,Critical,48.44036096256684,49.52314083921895,48.46954841946814,50.73063247408982,50.51369003690037,89.91338255033557
uk,2024,phishing,it,25.7,953987.0,zero day,ai based detection,65.0,55.2,Low,50.7941619047619,50.854168128888176,50.97536605796616,50.73063247408982,50.74505869797225,15.9447700770077
brazil,2021,ddos,government,56.2,713309.0,zero day,antivirus,51.0,26.29,Medium,51.0463731245923,52.0362353858145,52.12430513595166,50.73063247408982,51.08555063478004,48.46779490529065
russia,2021,ddos,healthcare,11.38,334528.0,zero day,vpn,5.0,22.45,Low,50.27492296918767,52.0362353858145,50.03413125590179,50.73063247408982,50.51369003690037,15.9447700770077
usa,2016,phishing,it,92.53,219826.0,social engineering,antivirus,38.0,14.94,Critical,51.606640173410405,50.854168128888176,50.97536605796616,51.27242457487658,51.08555063478004,89.91338255033557
usa,2015,sql injection,telecommunications,88.6,916744.0,social engineering,antivirus,37.0,58.72,Critical,51.606640173410405,50.24415149006622,51.06955882352941,51.27242457487658,51.08555063478004,89.91338255033557
usa,2017,phishing,it,30.4,568560.0,zero day,ai based detection,49.0,15.7,Low,51.606640173410405,50.854168128888176,50.97536605796616,50.73063247408982,50.74505869797225,15.9447700770077
uk,2019,phishing,education,90.7,440178.0,unpatched software,vpn,15.0,81.92,Critical,50.7941619047619,50.854168128888176,48.46954841946814,50.39994936708861,50.51369003690037,89.91338255033557
japan,2023,phishing,healthcare,45.38,172628.0,weak passwords,encryption,37.0,50.63,Medium,50.60352348993288,50.854168128888176,50.03413125590179,50.6939484857062,50.98364175977653,48.46779490529065
usa,2022,ransomware,government,71.33,257989.0,unpatched software,ai based detection,37.0,55.2,High,51.606640173410405,50.373152852977924,52.12430513595166,50.39994936708861,50.74505869797225,69.99341233766233
japan,2021,phishing,healthcare,9.42,573560.0,social engineering,antivirus,37.0,13.99,Low,50.60352348993288,50.854168128888176,50.03413125590179,51.27242457487658,51.08555063478004,15.9447700770077
brazil,2018,malware,education,5.27,850056.0,weak passwords,vpn,65.0,22.99,Low,51.0463731245923,49.52314083921895,48.46954841946814,50.6939484857062,50.51369003690037,15.9447700770077
australia,2018,phishing,retail,41.59,502006.5,unpatched software,encryption,30.0,169.54,Medium,52.26311760612387,50.854168128888176,50.93712900096993,50.39994936708861,50.98364175977653,48.46779490529065
usa,2015,sql injection,education,98.78,140958.0,social engineering,ai based detection,51.0,55.2,Critical,51.606640173410405,50.24415149006622,48.46954841946814,51.27242457487658,50.74505869797225,89.91338255033557
uk,2020,ddos,telecommunications,61.24,965727.0,zero day,antivirus,32.0,12.6,High,50.7941619047619,52.0362353858145,51.06955882352941,50.73063247408982,51.08555063478004,69.99341233766233
russia,2015,phishing,telecommunications,69.34,20269.0,zero day,vpn,36.0,63.37,High,50.27492296918767,50.854168128888176,51.06955882352941,50.73063247408982,50.51369003690037,69.99341233766233
germany,2020,ddos,retail,51.41,323011.0,social engineering,encryption,25.0,168.52,Medium,53.41150070126228,52.0362353858145,50.93712900096993,51.27242457487658,50.98364175977653,48.46779490529065
usa,2020,ransomware,retail,51.41,50321.0,zero day,antivirus,25.0,4.46,Medium,51.606640173410405,50.373152852977924,50.93712900096993,50.73063247408982,51.08555063478004,48.46779490529065
uk,2020,ddos,banking,33.99,851863.0,weak passwords,firewall,25.0,123.35,Medium,50.7941619047619,52.0362353858145,51.34587037037037,50.6939484857062,50.07604240282686,48.46779490529065
china,2024,ddos,it,22.45,704925.0,zero day,ai based detection,52.0,20.21,Low,49.59663946587538,52.0362353858145,50.97536605796616,50.73063247408982,50.74505869797225,15.9447700770077
france,2018,ransomware,it,27.78,355077.0,unpatched software,antivirus,37.0,128.5,Low,49.647629427792914,50.373152852977924,50.97536605796616,50.39994936708861,51.08555063478004,15.9447700770077
australia,2022,malware,it,47.12,502006.5,social engineering,antivirus,37.0,17.38,Medium,52.26311760612387,49.52314083921895,50.97536605796616,51.27242457487658,51.08555063478004,48.46779490529065
uk,2016,sql injection,telecommunications,48.77,169455.0,zero day,antivirus,23.0,55.2,Medium,50.7941619047619,50.24415149006622,51.06955882352941,50.73063247408982,51.08555063478004,48.46779490529065
india,2023,phishing,it,92.35,380022.0,unpatched software,encryption,30.0,55.2,Critical,48.44036096256684,50.854168128888176,50.97536605796616,50.39994936708861,50.98364175977653,89.91338255033557
usa,2019,phishing,retail,88.98,898679.0,zero day,firewall,37.0,55.2,Critical,51.606640173410405,50.854168128888176,50.93712900096993,50.73063247408982,50.07604240282686,89.91338255033557
japan,2020,phishing,it,61.69,704157.0,zero day,antivirus,42.0,80.61,High,50.60352348993288,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,69.99341233766233
russia,2022,phishing,telecommunications,84.57,502006.5,weak passwords,antivirus,54.0,14.06,Critical,50.27492296918767,50.854168128888176,51.06955882352941,50.6939484857062,51.08555063478004,89.91338255033557
uk,2021,ddos,it,67.87,683261.0,unpatched software,antivirus,13.0,142.29,High,50.7941619047619,52.0362353858145,50.97536605796616,50.39994936708861,51.08555063478004,69.99341233766233
uk,2022,phishing,it,59.7,382379.0,unpatched software,firewall,2.0,4.52,High,50.7941619047619,50.854168128888176,50.97536605796616,50.39994936708861,50.07604240282686,69.99341233766233
germany,2024,phishing,government,90.21,510657.0,social engineering,vpn,62.0,49.45,Critical,53.41150070126228,50.854168128888176,52.12430513595166,51.27242457487658,50.51369003690037,89.91338255033557
uk,2018,sql injection,it,16.23,912558.0,zero day,antivirus,69.0,8.88,Low,50.7941619047619,50.24415149006622,50.97536605796616,50.73063247408982,51.08555063478004,15.9447700770077
uk,2020,ransomware,banking,51.41,952504.0,zero day,ai based detection,45.0,20.54,Medium,50.7941619047619,50.373152852977924,51.34587037037037,50.73063247408982,50.74505869797225,48.46779490529065
france,2015,phishing,it,51.41,913027.0,zero day,antivirus,68.0,55.2,Medium,49.647629427792914,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,48.46779490529065
uk,2020,malware,government,31.04,502006.5,unpatched software,antivirus,58.0,15.02,Low,50.7941619047619,49.52314083921895,52.12430513595166,50.39994936708861,51.08555063478004,15.9447700770077
uk,2016,ransomware,healthcare,37.12,113404.0,zero day,antivirus,37.0,30.67,Medium,50.7941619047619,50.373152852977924,50.03413125590179,50.73063247408982,51.08555063478004,48.46779490529065
russia,2023,phishing,it,46.2,310868.0,weak passwords,antivirus,37.0,247.01,Medium,50.27492296918767,50.854168128888176,50.97536605796616,50.6939484857062,51.08555063478004,48.46779490529065
japan,2020,man-in-the-middle,it,98.3,458630.0,social engineering,antivirus,14.0,22.98,Critical,50.60352348993288,51.405620172648796,50.97536605796616,51.27242457487658,51.08555063478004,89.91338255033557
uk,2024,phishing,it,16.61,912183.0,zero day,encryption,44.0,191.24,Low,50.7941619047619,50.854168128888176,50.97536605796616,50.73063247408982,50.98364175977653,15.9447700770077
uk,2017,phishing,it,71.06,502006.5,social engineering,antivirus,37.0,10.03,High,50.7941619047619,50.854168128888176,50.97536605796616,51.27242457487658,51.08555063478004,69.99341233766233
usa,2016,phishing,it,14.17,863298.0,unpatched software,vpn,15.0,120.87,Low,51.606640173410405,50.854168128888176,50.97536605796616,50.39994936708861,50.51369003690037,15.9447700770077
uk,2018,phishing,it,51.41,434626.0,social engineering,ai based detection,29.0,474.54,Medium,50.7941619047619,50.854168128888176,50.97536605796616,51.27242457487658,50.74505869797225,48.46779490529065
uk,2018,phishing,it,78.27,195490.0,zero day,antivirus,63.0,1.34,High,50.7941619047619,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,69.99341233766233
uk,2020,ransomware,retail,10.44,19404.0,zero day,firewall,32.0,16.52,Low,50.7941619047619,50.373152852977924,50.93712900096993,50.73063247408982,50.07604240282686,15.9447700770077
uk,2019,ransomware,it,21.95,502006.5,social engineering,firewall,14.0,129.75,Low,50.7941619047619,50.373152852977924,50.97536605796616,51.27242457487658,50.07604240282686,15.9447700770077
india,2018,malware,healthcare,30.83,481452.0,weak passwords,ai based detection,57.0,55.2,Low,48.44036096256684,49.52314083921895,50.03413125590179,50.6939484857062,50.74505869797225,15.9447700770077
uk,2020,phishing,education,35.57,386093.0,unpatched software,vpn,42.0,95.27,Medium,50.7941619047619,50.854168128888176,48.46954841946814,50.39994936708861,50.51369003690037,48.46779490529065
france,2019,man-in-the-middle,banking,28.29,929020.0,weak passwords,antivirus,37.0,22.07,Low,49.647629427792914,51.405620172648796,51.34587037037037,50.6939484857062,51.08555063478004,15.9447700770077
usa,2022,malware,it,51.41,502006.5,zero day,antivirus,66.0,62.17,Medium,51.606640173410405,49.52314083921895,50.97536605796616,50.73063247408982,51.08555063478004,48.46779490529065
china,2018,ransomware,telecommunications,58.28,300898.0,unpatched software,antivirus,18.0,43.23,Medium,49.59663946587538,50.373152852977924,51.06955882352941,50.39994936708861,51.08555063478004,48.46779490529065
japan,2017,phishing,healthcare,51.41,502006.5,weak passwords,antivirus,51.0,314.72,Medium,50.60352348993288,50.854168128888176,50.03413125590179,50.6939484857062,51.08555063478004,48.46779490529065
germany,2021,phishing,banking,37.69,361849.0,zero day,firewall,63.0,79.97,Medium,53.41150070126228,50.854168128888176,51.34587037037037,50.73063247408982,50.07604240282686,48.46779490529065
brazil,2016,phishing,retail,27.99,30884.0,unpatched software,antivirus,26.0,90.6,Low,51.0463731245923,50.854168128888176,50.93712900096993,50.39994936708861,51.08555063478004,15.9447700770077
brazil,2020,ransomware,it,51.41,902924.0,zero day,encryption,12.0,29.44,Medium,51.0463731245923,50.373152852977924,50.97536605796616,50.73063247408982,50.98364175977653,48.46779490529065
brazil,2024,man-in-the-middle,telecommunications,27.13,943178.0,weak passwords,antivirus,63.0,26.27,Low,51.0463731245923,51.405620172648796,51.06955882352941,50.6939484857062,51.08555063478004,15.9447700770077
australia,2021,sql injection,it,10.28,994468.0,unpatched software,antivirus,8.0,28.54,Low,52.26311760612387,50.24415149006622,50.97536605796616,50.39994936708861,51.08555063478004,15.9447700770077
uk,2022,phishing,it,51.41,131361.0,weak passwords,firewall,39.0,98.66,Medium,50.7941619047619,50.854168128888176,50.97536605796616,50.6939484857062,50.07604240282686,48.46779490529065
uk,2023,malware,telecommunications,80.1,237658.0,zero day,antivirus,26.0,29.04,Critical,50.7941619047619,49.52314083921895,51.06955882352941,50.73063247408982,51.08555063478004,89.91338255033557
uk,2020,ransomware,banking,42.19,157313.0,unpatched software,antivirus,47.0,84.32,Medium,50.7941619047619,50.373152852977924,51.34587037037037,50.39994936708861,51.08555063478004,48.46779490529065
uk,2021,phishing,education,51.41,502006.5,zero day,ai based detection,10.0,55.2,Medium,50.7941619047619,50.854168128888176,48.46954841946814,50.73063247408982,50.74505869797225,48.46779490529065
uk,2020,phishing,healthcare,58.8,153523.0,social engineering,encryption,22.0,201.68,Medium,50.7941619047619,50.854168128888176,50.03413125590179,51.27242457487658,50.98364175977653,48.46779490529065
uk,2019,phishing,it,51.41,232665.0,social engineering,ai based detection,65.0,33.48,Medium,50.7941619047619,50.854168128888176,50.97536605796616,51.27242457487658,50.74505869797225,48.46779490529065
germany,2022,phishing,government,58.98,383945.0,zero day,encryption,37.0,330.9,Medium,53.41150070126228,50.854168128888176,52.12430513595166,50.73063247408982,50.98364175977653,48.46779490529065
brazil,2023,ransomware,government,4.6,762006.0,weak passwords,antivirus,21.0,29.6,Low,51.0463731245923,50.373152852977924,52.12430513595166,50.6939484857062,51.08555063478004,15.9447700770077
germany,2019,sql injection,government,96.91,408103.0,unpatched software,firewall,27.0,2.57,Critical,53.41150070126228,50.24415149006622,52.12430513595166,50.39994936708861,50.07604240282686,89.91338255033557
france,2022,phishing,healthcare,85.91,44837.0,zero day,ai based detection,18.0,12.04,Critical,49.647629427792914,50.854168128888176,50.03413125590179,50.73063247408982,50.74505869797225,89.91338255033557
germany,2023,ddos,telecommunications,51.49,642699.0,social engineering,firewall,51.0,3.3,Medium,53.41150070126228,52.0362353858145,51.06955882352941,51.27242457487658,50.07604240282686,48.46779490529065
uk,2020,ransomware,telecommunications,3.99,502006.5,unpatched software,encryption,33.0,32.22,Low,50.7941619047619,50.373152852977924,51.06955882352941,50.39994936708861,50.98364175977653,15.9447700770077
france,2020,malware,retail,3.44,887718.0,zero day,antivirus,55.0,55.2,Low,49.647629427792914,49.52314083921895,50.93712900096993,50.73063247408982,51.08555063478004,15.9447700770077
uk,2020,ddos,education,52.7,541631.0,zero day,ai based detection,37.0,674.96,Medium,50.7941619047619,52.0362353858145,48.46954841946814,50.73063247408982,50.74505869797225,48.46779490529065
usa,2016,ransomware,it,51.41,523522.0,weak passwords,encryption,57.0,55.2,Medium,51.606640173410405,50.373152852977924,50.97536605796616,50.6939484857062,50.98364175977653,48.46779490529065
russia,2021,ddos,government,91.69,502006.5,unpatched software,antivirus,42.0,39.3,Critical,50.27492296918767,52.0362353858145,52.12430513595166,50.39994936708861,51.08555063478004,89.91338255033557
india,2020,man-in-the-middle,education,79.89,416328.0,zero day,encryption,55.0,189.45,High,48.44036096256684,51.405620172648796,48.46954841946814,50.73063247408982,50.98364175977653,69.99341233766233
india,2021,man-in-the-middle,it,53.49,582718.0,social engineering,encryption,37.0,1.98,Medium,48.44036096256684,51.405620172648796,50.97536605796616,51.27242457487658,50.98364175977653,48.46779490529065
japan,2021,man-in-the-middle,telecommunications,18.91,549640.0,social engineering,encryption,17.0,77.74,Low,50.60352348993288,51.405620172648796,51.06955882352941,51.27242457487658,50.98364175977653,15.9447700770077
usa,2024,phishing,retail,15.34,502006.5,social engineering,firewall,3.0,173.52,Low,51.606640173410405,50.854168128888176,50.93712900096993,51.27242457487658,50.07604240282686,15.9447700770077
uk,2018,ddos,telecommunications,12.72,959835.0,zero day,firewall,37.0,5.94,Low,50.7941619047619,52.0362353858145,51.06955882352941,50.73063247408982,50.07604240282686,15.9447700770077
usa,2024,ransomware,it,46.59,227390.0,weak passwords,ai based detection,40.0,303.58,Medium,51.606640173410405,50.373152852977924,50.97536605796616,50.6939484857062,50.74505869797225,48.46779490529065
france,2021,sql injection,banking,62.9,577763.0,zero day,antivirus,43.0,90.72,High,49.647629427792914,50.24415149006622,51.34587037037037,50.73063247408982,51.08555063478004,69.99341233766233
japan,2020,sql injection,healthcare,85.33,786644.0,unpatched software,antivirus,41.0,29.28,Critical,50.60352348993288,50.24415149006622,50.03413125590179,50.39994936708861,51.08555063478004,89.91338255033557
china,2016,malware,healthcare,85.15,454802.0,unpatched software,antivirus,48.0,141.06,Critical,49.59663946587538,49.52314083921895,50.03413125590179,50.39994936708861,51.08555063478004,89.91338255033557
china,2024,ddos,healthcare,53.53,371685.0,social engineering,antivirus,34.0,55.2,Medium,49.59663946587538,52.0362353858145,50.03413125590179,51.27242457487658,51.08555063478004,48.46779490529065
india,2023,ransomware,retail,51.41,502006.5,unpatched software,antivirus,37.0,71.72,Medium,48.44036096256684,50.373152852977924,50.93712900096993,50.39994936708861,51.08555063478004,48.46779490529065
uk,2024,man-in-the-middle,telecommunications,51.41,502006.5,unpatched software,vpn,27.0,55.2,Medium,50.7941619047619,51.405620172648796,51.06955882352941,50.39994936708861,50.51369003690037,48.46779490529065
uk,2020,phishing,banking,84.77,812206.0,unpatched software,encryption,39.0,27.41,Critical,50.7941619047619,50.854168128888176,51.34587037037037,50.39994936708861,50.98364175977653,89.91338255033557
australia,2021,phishing,banking,82.87,255967.0,social engineering,vpn,23.0,15.26,Critical,52.26311760612387,50.854168128888176,51.34587037037037,51.27242457487658,50.51369003690037,89.91338255033557
usa,2023,ddos,it,5.32,463332.0,weak passwords,encryption,16.0,189.71,Low,51.606640173410405,52.0362353858145,50.97536605796616,50.6939484857062,50.98364175977653,15.9447700770077
australia,2023,phishing,it,51.41,771547.0,zero day,antivirus,5.0,15.12,Medium,52.26311760612387,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,48.46779490529065
uk,2020,ddos,retail,51.41,809209.0,social engineering,encryption,26.0,60.79,Medium,50.7941619047619,52.0362353858145,50.93712900096993,51.27242457487658,50.98364175977653,48.46779490529065
india,2024,ddos,retail,35.47,342575.0,social engineering,firewall,49.0,26.67,Medium,48.44036096256684,52.0362353858145,50.93712900096993,51.27242457487658,50.07604240282686,48.46779490529065
japan,2024,phishing,retail,94.75,478963.0,zero day,vpn,37.0,112.0,Critical,50.60352348993288,50.854168128888176,50.93712900096993,50.73063247408982,50.51369003690037,89.91338255033557
usa,2017,sql injection,banking,39.59,502006.5,weak passwords,antivirus,52.0,90.06,Medium,51.606640173410405,50.24415149006622,51.34587037037037,50.6939484857062,51.08555063478004,48.46779490529065
australia,2024,phishing,banking,70.52,601198.0,zero day,encryption,41.0,258.87,High,52.26311760612387,50.854168128888176,51.34587037037037,50.73063247408982,50.98364175977653,69.99341233766233
uk,2018,ransomware,government,6.6,152302.0,social engineering,ai based detection,26.0,25.41,Low,50.7941619047619,50.373152852977924,52.12430513595166,51.27242457487658,50.74505869797225,15.9447700770077
uk,2016,sql injection,it,51.41,79102.0,zero day,antivirus,4.0,36.42,Medium,50.7941619047619,50.24415149006622,50.97536605796616,50.73063247408982,51.08555063478004,48.46779490529065
uk,2017,phishing,retail,80.93,837506.0,zero day,antivirus,8.0,12.58,Critical,50.7941619047619,50.854168128888176,50.93712900096993,50.73063247408982,51.08555063478004,89.91338255033557
uk,2018,malware,it,63.81,502006.5,social engineering,firewall,58.0,28.04,High,50.7941619047619,49.52314083921895,50.97536605796616,51.27242457487658,50.07604240282686,69.99341233766233
usa,2021,phishing,telecommunications,3.63,231198.0,zero day,encryption,37.0,96.15,Low,51.606640173410405,50.854168128888176,51.06955882352941,50.73063247408982,50.98364175977653,15.9447700770077
brazil,2016,ddos,government,80.09,555275.0,social engineering,antivirus,71.0,169.95,Critical,51.0463731245923,52.0362353858145,52.12430513595166,51.27242457487658,51.08555063478004,89.91338255033557
uk,2016,sql injection,retail,24.51,46699.0,zero day,antivirus,53.0,13.69,Low,50.7941619047619,50.24415149006622,50.93712900096993,50.73063247408982,51.08555063478004,15.9447700770077
uk,2020,man-in-the-middle,it,56.23,706469.0,zero day,encryption,17.0,201.22,Medium,50.7941619047619,51.405620172648796,50.97536605796616,50.73063247408982,50.98364175977653,48.46779490529065
china,2018,ransomware,it,51.41,311165.0,social engineering,ai based detection,34.0,417.15,Medium,49.59663946587538,50.373152852977924,50.97536605796616,51.27242457487658,50.74505869797225,48.46779490529065
france,2019,phishing,government,85.13,304257.0,weak passwords,antivirus,20.0,101.51,Critical,49.647629427792914,50.854168128888176,52.12430513595166,50.6939484857062,51.08555063478004,89.91338255033557
brazil,2017,phishing,it,51.41,446378.0,zero day,antivirus,59.0,911.59,Medium,51.0463731245923,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,48.46779490529065
china,2021,phishing,healthcare,32.72,994243.0,zero day,antivirus,54.0,17.1,Medium,49.59663946587538,50.854168128888176,50.03413125590179,50.73063247408982,51.08555063478004,48.46779490529065
uk,2015,phishing,it,81.75,98634.0,social engineering,vpn,5.0,8.44,Critical,50.7941619047619,50.854168128888176,50.97536605796616,51.27242457487658,50.51369003690037,89.91338255033557
uk,2018,phishing,telecommunications,42.46,93999.0,social engineering,antivirus,65.0,3.79,Medium,50.7941619047619,50.854168128888176,51.06955882352941,51.27242457487658,51.08555063478004,48.46779490529065
uk,2017,sql injection,education,14.54,502006.5,zero day,ai based detection,63.0,55.2,Low,50.7941619047619,50.24415149006622,48.46954841946814,50.73063247408982,50.74505869797225,15.9447700770077
usa,2015,man-in-the-middle,it,38.92,820182.0,weak passwords,antivirus,16.0,145.7,Medium,51.606640173410405,51.405620172648796,50.97536605796616,50.6939484857062,51.08555063478004,48.46779490529065
germany,2018,sql injection,telecommunications,4.2,164890.0,zero day,antivirus,61.0,50.23,Low,53.41150070126228,50.24415149006622,51.06955882352941,50.73063247408982,51.08555063478004,15.9447700770077
china,2015,sql injection,telecommunications,75.91,605020.0,unpatched software,antivirus,37.0,83.09,High,49.59663946587538,50.24415149006622,51.06955882352941,50.39994936708861,51.08555063478004,69.99341233766233
uk,2024,ransomware,education,44.95,500747.0,zero day,antivirus,58.0,55.2,Medium,50.7941619047619,50.373152852977924,48.46954841946814,50.73063247408982,51.08555063478004,48.46779490529065
japan,2020,man-in-the-middle,it,51.41,854904.0,weak passwords,firewall,12.0,2140.14,Medium,50.60352348993288,51.405620172648796,50.97536605796616,50.6939484857062,50.07604240282686,48.46779490529065
china,2020,sql injection,healthcare,51.41,55719.0,unpatched software,antivirus,71.0,55.2,Medium,49.59663946587538,50.24415149006622,50.03413125590179,50.39994936708861,51.08555063478004,48.46779490529065
brazil,2020,phishing,retail,19.93,355008.0,zero day,antivirus,31.0,64.33,Low,51.0463731245923,50.854168128888176,50.93712900096993,50.73063247408982,51.08555063478004,15.9447700770077
uk,2019,phishing,it,75.31,428615.0,social engineering,ai based detection,66.0,55.2,High,50.7941619047619,50.854168128888176,50.97536605796616,51.27242457487658,50.74505869797225,69.99341233766233
australia,2015,phishing,healthcare,76.4,108767.0,unpatched software,vpn,48.0,112.34,High,52.26311760612387,50.854168128888176,50.03413125590179,50.39994936708861,50.51369003690037,69.99341233766233
uk,2020,man-in-the-middle,it,51.41,502006.5,unpatched software,encryption,37.0,76.39,Medium,50.7941619047619,51.405620172648796,50.97536605796616,50.39994936708861,50.98364175977653,48.46779490529065
uk,2020,phishing,it,23.93,502006.5,zero day,antivirus,39.0,55.2,Low,50.7941619047619,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,15.9447700770077
uk,2017,man-in-the-middle,education,51.41,996762.0,social engineering,ai based detection,27.0,55.2,Medium,50.7941619047619,51.405620172648796,48.46954841946814,51.27242457487658,50.74505869797225,48.46779490529065
uk,2020,phishing,it,5.14,319868.0,unpatched software,vpn,52.0,918.77,Low,50.7941619047619,50.854168128888176,50.97536605796616,50.39994936708861,50.51369003690037,15.9447700770077
brazil,2018,man-in-the-middle,banking,1.01,66191.0,weak passwords,antivirus,71.0,410.81,Low,51.0463731245923,51.405620172648796,51.34587037037037,50.6939484857062,51.08555063478004,15.9447700770077
india,2020,ransomware,it,18.53,925373.0,zero day,antivirus,4.0,595.73,Low,48.44036096256684,50.373152852977924,50.97536605796616,50.73063247408982,51.08555063478004,15.9447700770077
uk,2015,malware,telecommunications,1.52,913114.0,unpatched software,vpn,15.0,25.36,Low,50.7941619047619,49.52314083921895,51.06955882352941,50.39994936708861,50.51369003690037,15.9447700770077
australia,2019,ddos,healthcare,84.89,163975.0,unpatched software,antivirus,37.0,12.37,Critical,52.26311760612387,52.0362353858145,50.03413125590179,50.39994936708861,51.08555063478004,89.91338255033557
usa,2020,ddos,education,66.73,876135.0,unpatched software,ai based detection,67.0,45.21,High,51.606640173410405,52.0362353858145,48.46954841946814,50.39994936708861,50.74505869797225,69.99341233766233
china,2024,ransomware,government,72.61,595380.0,zero day,vpn,37.0,59.36,High,49.59663946587538,50.373152852977924,52.12430513595166,50.73063247408982,50.51369003690037,69.99341233766233
france,2020,ddos,government,44.16,840796.0,weak passwords,antivirus,37.0,55.2,Medium,49.647629427792914,52.0362353858145,52.12430513595166,50.6939484857062,51.08555063478004,48.46779490529065
uk,2022,ddos,telecommunications,80.05,502006.5,weak passwords,firewall,42.0,4.31,High,50.7941619047619,52.0362353858145,51.06955882352941,50.6939484857062,50.07604240282686,69.99341233766233
uk,2018,sql injection,telecommunications,13.69,146100.0,social engineering,encryption,37.0,55.2,Low,50.7941619047619,50.24415149006622,51.06955882352941,51.27242457487658,50.98364175977653,15.9447700770077
usa,2021,phishing,it,29.02,555756.0,zero day,antivirus,21.0,43.08,Low,51.606640173410405,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,15.9447700770077
uk,2017,ransomware,retail,69.91,340928.0,social engineering,antivirus,37.0,28.78,High,50.7941619047619,50.373152852977924,50.93712900096993,51.27242457487658,51.08555063478004,69.99341233766233
uk,2016,malware,telecommunications,3.76,678640.0,zero day,encryption,44.0,55.2,Low,50.7941619047619,49.52314083921895,51.06955882352941,50.73063247408982,50.98364175977653,15.9447700770077
brazil,2020,phishing,it,57.43,212798.0,zero day,antivirus,31.0,4.56,Medium,51.0463731245923,50.854168128888176,50.97536605796616,50.73063247408982,51.08555063478004,48.46779490529065
uk,2019,ransomware,retail,63.45,354024.0,weak passwords,antivirus,33.0,187.68,High,50.7941619047619,50.373152852977924,50.93712900096993,50.6939484857062,51.08555063478004,69.99341233766233
uk,2016,man-in-the-middle,government,41.34,189354.0,zero day,firewall,39.0,60.95,Medium,50.7941619047619,51.405620172648796,52.12430513595166,50.73063247408982,50.07604240282686,48.46779490529065
australia,2022,phishing,education,22.73,648363.0,zero day,antivirus,47.0,7.89,Low,52.26311760612387,50.854168128888176,48.46954841946814,50.73063247408982,51.08555063478004,15.9447700770077
brazil,2017,ddos,it,5.88,231114.0,weak passwords,ai based detection,37.0,7.83,Low,51.0463731245923,52.0362353858145,50.97536605796616,50.6939484857062,50.74505869797225,15.9447700770077
uk,2017,ransomware,banking,9.81,489620.0,unpatched software,antivirus,43.0,32.99,Low,50.7941619047619,50.373152852977924,51.34587037037037,50.39994936708861,51.08555063478004,15.9447700770077
usa,2015,ddos,it,94.14,854005.0,zero day,ai based detection,14.0,667.5,Critical,51.606640173410405,52.0362353858145,50.97536605796616,50.73063247408982,50.74505869797225,89.91338255033557
germany,2017,ransomware,it,33.24,550719.0,zero day,ai based detection,60.0,36.99,Medium,53.41150070126228,50.373152852977924,50.97536605796616,50.73063247408982,50.74505869797225,48.46779490529065
uk,2020,phishing,government,51.41,502006.5,unpatched software,vpn,42.0,5.73,Medium,50.7941619047619,50.854168128888176,52.12430513595166,50.39994936708861,50.51369003690037,48.46779490529065
japan,2020,phishing,education,49.17,218097.0,zero day,antivirus,37.0,37.77,Medium,50.60352348993288,50.854168128888176,48.46954841946814,50.73063247408982,51.08555063478004,48.46779490529065
