Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Data Breach In GB
CHInA,2022.0,MalwARE,TelEcOmmunIcations!,34.33,571265.0,,UNPaTched SoftwaRe,FiREwaLl,17.0,31.77
RussIa,2015.0,DDOS,BankinG,40.64,259321.0,NAtIon-STaTE  ,SociaL EngiNEerIng,,,310.75
BRaziL,2022.0,Man-in-tHe-MiddLe,BanKInG,59.43,121504.0,InsideR,Weak PASswOrds,,32.0,
FranCE,2018.0,DDoS,BANKinG,,670630.0,NaTIon-staTE,Zero-dAy,AntIVIrus,4.0,137.54
  ChIna  ,2024.0,RAnSOMwarE,  BAnkinG,72.18,277175.0,InsidEr,Social EngINeErInG,FirewaLl,72.0,132.91
,2016.0,MaN-in-tHe-MiddLe,,23.35,952463.0,NatIon-state,UnPatcHed SoftWaRe,ANtivIruS,26.0,34.32
UK,2020.0,,,78.32,,UnkNOWn,WeaK PasswOrds,AI-baseD DEtEctiOn@,67.0,89.05
 ChIna ,,PhIshinG,Healthcare,20.22,363934.0,InsIder,WEak PasSWordS,,,8.36
  JapAN !,2017.0,,,33.15,44750.0,UNknown,,FiRewALl,22.0,218.34
UK,2021.0,DDoS,BAnkINg,8.82,736601.0,, ZEro-dAY ,,,41.37
  JAPan,2018.0,,EducaTIOn,43.32,42876.0,UnknOWN,UNPATchED SoFTwAre#,AnTiViRus,40.0,24.93
AuStraLia,2018.0,,HeALTHcare!,90.4,536357.0,,WeAk PasSwoRdS,EnCRyPTiOn,55.0,
USA,,,GoVeRNMenT!,55.34,785099.0,,SoCiAl EngineerIng,EncRYpTIon,29.0,
FranCe!,2019.0,DDoS, HeaLThcArE,27.89,,UNKNOwn,WeAk PassWords,FiRewaLl,29.0,6.6
FRAncE,2020.0,RaNsomWarE ,  EducAtIOn ,66.04,881755.0,UnknowN,  ZEro-day  #,Firewall,10.0,5.29
InDiA,,SQL Injection,,,213393.0,UnkNown,,EncrypTioN!,49.0,135.51
,2017.0,Man-iN-thE-MiDDle,TElEcommunicatiONs,43.82,213979.0,HACkeR GrOup,UnPatCheD SOftWArE,FiREwaLl,10.0,8.0
UK,,MalWaRe,TELecomMuNICatiONs,3.17,570243.0,InsiDer,,AnTiviRUs,51.0,
Brazil,2016.0,MalwarE,GOvErnment,72.73,47624.0,,WeaK PasSWordS#,,70.0,2.4
ChIna,2024.0,MAn-iN-tHe-MiddLE,BankINg,16.09,72940.0,,ZerO-Day,,26.0,695.54
JApaN,,MalwarE,TeLecommUnicatiOns,98.14,710142.0,InsIDer,  ZEro-DaY,AI-baSed DEtectiOn,56.0,74.93
JApaN,2023.0,MaLWare,Retail@,51.91,,HaCKer GrouP, UnPaTched SofTWare  ,FireWall,47.0,47.23
  FRance  !,2017.0,Phishing,IT,55.9,309259.0, INsider @,,AI-based DetEcTioN,3.0,24.11
UK  ,2024.0,PhishinG,GOvErnMEnt,30.68,393201.0,NatiOn-State,SociaL EngineEring,FireWAll!,,99.36
GeRmAny,,RanSomwAre,,65.2,306799.0,UnknowN,,EncrYption  ,,51.6
RuSsia,2022.0,,,,30180.0,InSiDer, Weak PaSsWords  ,AI-bAsed DeteCtIoN,53.0,285.7
IndIa,2017.0,,  REtaiL,97.87,113745.0,Unknown,UnpAtched Software,ENCRYptIoN,2.0,
,2024.0,RaNsOMWaRe  ,BaNkInG,24.22,584428.0,NAtiON-sTate@,,FIreWalL  ,34.0,68.41
FrancE,2020.0,RaNSomware,,3.27,,Nation-state, UnpATched SOftware ,ANTIVirUs,2.0,31.65
China,2022.0, PhIshINg,  ReTail,33.69,338578.0,UnknOwN,SoCIal EnginEEring,AI-bASeD DeteCTiOn,38.0,50.13
,2024.0,DDoS,HEaLthcare#,7.31,,,ZeRo-dAY,  EnCryPTiOn  !,51.0,86.63
Brazil,,Ransomware,BAnkiNg !,15.66,817169.0,,  UnpatChed SoftwaRe ,FIrEwAlL,54.0,4.2
AUsTraliA,2015.0,,HEALTHCARe,62.34,,HaCker Group,SociAL EngiNeERInG,,20.0,7.23
UK,,  MAN-In-The-MiDdle,,76.06,530253.0,,,,28.0,
AustRalIa,2024.0,MAn-In-tHE-MIDdlE,,50.36,,NaTiON-StAtE,,,72.0,70.55
RUssia,2021.0,RansomwaRe  ,Banking,34.92,501490.0,,SociAl EngIneErIng,FiRewall,44.0,41.43
InDia,2016.0,MaLWare  @,BankIng,11.81,392365.0,INsideR,SociAl ENgineerINg!,ANtIviruS,72.0,56.13
CHinA,2022.0,MalWaRE,EducatiOn,96.72,194617.0,InsideR,SocIal EnGiNeERing,AntiViruS,,
,,MaN-in-the-MiDdLe@,RETail,,516125.0,UNknowN,ZeRo-dAY,FirEWall,67.0,24.3
  AuStralIa  ,2021.0,Man-in-the-MidDLE,TelecoMmunICatIoNS,67.72,393335.0,HackER GrouP@, SOcial EnGIneeRinG ,  ANTiviRUs  ,31.0,16.99
,,,,34.09,,UnKnOwN,Zero-DAY,AntiViruS,,73.24
,2022.0,DDoS,EDuCaTioN!,,452360.0, NatioN-sTate ,ZeRo-dAy,ANtIvirUS,65.0,12.58
Australia,,, HeaLTHCARe  ,,913090.0,,ZeRo-day,VPN@,2.0,100.72
GErmany,2018.0,SQL InJEctIoN, TelecOmMUnications,38.65,368222.0,INsider,ZERO-daY,VPN!,56.0,4.25
INdia,2022.0,SQL InJeCTioN, HeAlthcare ,77.3,826937.0,,Zero-DAy,AI-BAseD DetectiON,64.0,
,,RanSomWAre,REtAiL,,673959.0, Hacker Group  ,ZeRo-DaY,FireWAll,39.0,
UK,2022.0,RaNsomware,EduCation,4.29,383246.0, Nation-stATe,,VPN,45.0,80.16
UK,2019.0,,,76.03,422890.0,,SocIAl ENGIneering#,VPN,4.0,238.42
,2020.0,MAlwaRe,,42.3,497035.0, Hacker GRoUP  ,Zero-DAy,AI-based DeteCtiOn,66.0,663.95
Brazil,,,,72.57,720220.0,UnkNown,Weak PassworDs,FirewAll,71.0,250.02
RUsSia,2019.0,,GOvernmeNT#,,,Nation-sTaTe,SOCIal EngiNEeriNg,,57.0,3.45
GERmanY,,SQL INjection, IT ,68.63,294981.0,,ZeRo-daY,AI-BaSeD DetectIon,3.0,
,2017.0,PhIShing,HEaLthcaRe,52.7,281182.0,,  Zero-day ,  EncryPTion@,27.0,
AUStRalIA ,2017.0,RansoMwarE#,EducATion,66.56,95750.0, NaTion-stAte  ,  ZEro-Day  ,ANtiVirus,44.0,56.78
BraZil,2015.0,,ReTaIL,91.03,879260.0,HacKER GrOup,SociAL EnGineeRiNG,AnTiviRuS,16.0,118.69
RuSSiA,2017.0,,IT,14.74,561615.0, Hacker Group ,Weak PaSSWords,AntivirUs,29.0,
,2016.0,SQL InjeCtIoN,,40.29,206598.0,UNknown, Zero-daY @,EncRYPtion,,72.25
BRaZil,2017.0,MaN-in-the-MIddle,IT,56.83,171305.0,UnKNowN ,UNpAtcheD SOFtWare,FireWall,54.0,
RUssIa,,SQL InJecTIoN,GOveRnmeNt,63.45,492909.0,UNknOWn,,AI-baSeD DeTeCtion,42.0,21.82
UK,2021.0,,IT@,72.57,,HackeR GroUp ,  UnPaTChed SoFtwaRE  ,,16.0,6.62
JaPAn,2021.0,PhishiNg,,22.94,622723.0,NatIon-StATe ,  WeAK PaSswordS ,AI-BaseD DetEcTIoN#,67.0,13.67
,2016.0,,,80.22,124155.0,NaTioN-sTAte,Weak PassworDS,,40.0,7.19
China,,,  REtaiL,34.49,,UNKnoWn,ZerO-DAY,VPN,55.0,12.63
  USA ,2017.0,,HealthcAre,51.26,28682.0,HACKer GRoUp,Zero-DAY,VPN#,44.0,265.19
JAPAN,2020.0,PhiSHing,,73.04,512431.0,NaTIon-staTe,UNPAtched SOftwAre,VPN,44.0,13.14
AUstrAlIA@,2018.0,SQL InJeCtion,,19.14,171977.0,UnKnoWn,Zero-day,,44.0,2831.53
UK,2015.0,SQL INjectiOn,TelECommuNications,38.72,943070.0,Hacker GrOuP,ZErO-DaY,,36.0,114.43
,2021.0,DDoS,EdUcAtioN,14.88,887855.0,Nation-state,ZEro-Day,AI-Based DetECtion,7.0,72.04
,2018.0,RansoMware,ReTaIl,,535110.0,,Zero-day,ANtivIrus,2.0,15.07
,2021.0,Man-iN-ThE-MiddLe,TelecoMmunications,42.29,817386.0,NaTIon-sTATE,,,8.0,156.1
INdia,2018.0,PhiSHIng!,,96.59,206552.0,NATion-stAte,WeaK PasswordS,,,
Brazil ,,MAn-in-the-MiddLe,,71.35,154966.0,HAcker Group,ZerO-DaY#,AntiviruS,19.0,65.56
,2016.0,PHishing,,54.5,511287.0,UnknOwN!,UnpaTched SofTWaRe,,34.0,
GeRManY,2023.0,SQL InjEctiOn,,94.48,426499.0,UnkNOwn,,VPN,37.0,47.27
UK#,2016.0,,TelEcOmmunications,73.63,15907.0,,SocIAl EngINeering,,,306.1
,2022.0,PHishing,,36.15,375734.0,NatIon-statE,WeaK PasswOrds,AI-bAsED DETectIon,,19.02
BRAzil,2023.0,MaLWare,GOverNmEnT,,,UNkNown,ZerO-dAy,,7.0,51.81
INDia,2023.0,,BankinG,,397813.0,NATiOn-state,SocIAl EnginEerIng,AnTiVIrUs!,12.0,777.59
FRanCe,2024.0,,BaNking,70.98,,InsidEr,ZeRo-day,,3.0,21.32
,2024.0,DDoS,IT,7.99,805548.0,InsideR,,Antivirus,10.0,827.72
BrazIL@,2015.0, SQL INjectIon,RetAil,74.74,562552.0,NatioN-sTate,,ENcryPtion,,157.85
Brazil,2018.0,,EDUCAtion,,724513.0,NatiON-sTAte,,,46.0,23.48
UK,2024.0,SQL INJeCTIOn,,54.1,715395.0,UNknOwn,,VPN,,140.98
France,2020.0,,,75.13,177097.0,  UnkNOwn,,EncryptIon,15.0,234.82
AustralIa,2020.0,MaN-in-thE-MiDdle, BanKInG  ,56.34,407084.0,UNknOwn,UNpatCheD SOftWare,FiRewall,11.0,
,2023.0,,HealtHcARe,23.66,889641.0,,SOCial EngineEring,AI-basEd DETectioN,50.0,5.18
USA,2019.0,SQL Injection,  IT,17.81,378105.0,,WEAk PaSsWords,EncrYptION,4.0,18.34
Germany ,2020.0,SQL InjectiOn,EdUCAtiON,43.96,597987.0,HACker GRoUp!,Weak PaSsWordS#,,50.0,
USA,2018.0,,EdUcAtion,77.07,10600.0,InsideR,SociaL EnGiNeerInG,FirEWalL,,48.83
  FRAnCE #,2016.0,SQL InJEction,Healthcare,,586784.0,HaCKer GRoup,WEak PasswOrds,EnCrYption,26.0,138.52
,2023.0,SQL INjeCtion,Banking,48.53,421083.0,,UNpAtChed SoftWare,AI-BaSed DEtEctiON,,71.28
,,RansomwAre,,94.86,127127.0,UNknown,,ENcrypTION,47.0,7.37
,2016.0,MAlWAre,GOVernmeNt@,15.92,668188.0,INsider,,  AI-Based DEtECtiON ,38.0,96.57
,2018.0,SQL INJeCtiOn, EducatioN ,,433618.0,HAcker GROup,SoCiAl EngiNeeRING,ANtivIrus,59.0,136.44
GermAny,,MaLwAre@,,,51176.0,,SocIAl ENgINeEring,,61.0,
GerManY,, SQL INJectioN, IT,34.35,918452.0,,,AI-basED DeTEcTIoN,16.0,276.21
Germany#,2023.0,  RanSoMware,HealThcaRe,84.92,152814.0,Nation-state,SoCIaL EngInEerInG,  AI-basEd DetEction ,33.0,190.73
,2017.0,MaN-in-the-MiddLe,Retail,74.57,502149.0,,WeAk PAsSworDs,AI-BASEd DEtecTIon ,29.0,108.72
USA,2019.0,RAnsOMwarE,,89.81,46960.0,  NaTion-State,ZEro-dAy,AI-Based DeTeCtion,16.0,49.14
BRaZil,2017.0,SQL Injection, GoVerNMenT  ,,,INsider,  Weak PAssworDs ,,21.0,
BrazIL@,2018.0,DDoS!,TelecoMMuniCAtions,69.83,587034.0,HacKer GrOup,WeaK PAsSwordS@,AI-baSed DeTeCtiOn,35.0,104.0
FRaNCe,2015.0,MAn-In-tHe-MIddlE,HEalthcARe,79.58,856278.0,Hacker GroUP@,Zero-Day,FIrewalL  ,,74.55
,,DDOS,BANKiNg,79.07,880586.0,HaCkeR GrouP,UNpatcheD SoftwaRe,VPN#,56.0,
USA,,DDoS,GoverNment,81.56,78873.0,HAcker GroUp,WEAK PasswOrds,,,8.04
,2017.0,,BANKinG,,810106.0,HackER GrOUp,WeaK PasswOrdS,EncRyPtIOn,66.0,10.79
Germany,2021.0,DDoS,GoVeRnmENt,28.71,937384.0,,,EncRypTion,67.0,265.0
JaPaN,2023.0,Man-In-thE-MiddLE#, RetaiL,36.68,231307.0,UnknoWn,ZERo-dAy, EncryPTion ,4.0,51.45
ChiNa@,,DDoS,IT,,,HaCKeR GROup,Weak Passwords,,,151.75
USA,,MAn-iN-thE-MidDle,  TeleComMunicatioNs ,,896828.0,UNknown,Weak PASsWordS,FIrEwall,33.0,56.97
UK,,DDoS, TelEcoMMunIcAtIons,48.47,937466.0,Hacker GroUP,SOCIal ENgInEEring,AI-BaseD DeTectiON,28.0,57.09
ChinA  ,2020.0,DDoS@,BankInG,11.72,81518.0,NATiON-stAte,SoCiAl EngINeeriNg#,,,223.06
,2015.0,Malware,IT,,,,,VPN,56.0,25.18
,2019.0,PhishIng,,20.13,25946.0,Hacker GroUp,Weak PasSWords,AI-bASeD DETeCtION,68.0,63.07
,2017.0,MaN-in-the-MIddLe,EducatIon,14.99,942088.0,,ZEro-daY,,,27.29
JapAn,2015.0,MaLware@,,28.8,,  InsiDEr,Zero-DAy,EnCryPTiOn,68.0,28.45
USA,2018.0,SQL InJEctIOn,GovERnmenT ,,755576.0,InsidEr,,AI-BAseD DetectiOn,23.0,34.34
BRazIL,2018.0,MAlwAre,EdUcatiOn,6.3,661644.0,InsideR,SoCial EnGInEERIng,AI-basED DetecTion,29.0,76.19
UK,2019.0,DDoS,TeleCoMmUniCATions,95.75,,InSIDEr,,,13.0,26.63
Russia,2022.0,MAN-In-The-MiDdle,IT,49.87,816398.0,Insider,,ENcryptIon,39.0,359.11
India#,2017.0,DDOS,  EdUcaTIOn  ,,79933.0,HAcKer GroUp,ZERO-dAy,AI-baSed DETectIOn,23.0,
USA,2019.0,MalwarE,GoVernment,83.84,,NAtiON-State,SocIAL EngineeRiNG,ENcryptiON,35.0,
,2021.0,PHiShing,RetAil!,81.26,245015.0,NaTioN-sTatE,,  FIREWall  ,41.0,28.23
JApAN  ,2017.0,,BanKiNg,66.81,966993.0,HaCkER Group,SOcial EngineerinG,VPN,64.0,478.41
  AustralIA ,2016.0,,EducATion,88.87,,NATioN-staTe,WeAk PASsWorDs@,  FirewalL  ,32.0,73.32
,2022.0,,HealtHCaRe,75.08,132520.0,UNknown,Zero-day,,56.0,256.66
GerMaNy,,SQL INjeCTioN,RetAiL,,869605.0,UNknoWn  ,SOCIal Engineering,,,5.88
,,PHishing!,BanKiNg,96.27,637264.0,  Hacker GrOuP  @,UnPATchEd SoFtwarE,AI-baSed DetecTiOn,11.0,81.5
,2021.0,DDOS,,45.6,,InsiDer,SOcial EngiNEerIng,VPN,,207.36
,2021.0,  DDOS  , EdUcaTION  ,69.37,666096.0,HaCker GrOup,ZErO-dAy,ENcRyptIoN,9.0,61.77
IndIa,,SQL InjectiOn  ,TElecOmMUnIcaTiOns,,851981.0,Nation-stAte,  ZEro-day,AI-based DetEction,57.0,269.95
AUstRaLia,2024.0,PhishinG  ,BaNkInG,14.97,214740.0,,Unpatched SOFtwAre,,57.0,25.13
Brazil!,2016.0,PhiShIng#,GovErnMent,,372653.0,Hacker GRoup  ,Weak PasSwOrDs@,,60.0,452.15
IndIa,2024.0,PHishing,BanKINg,64.23,903871.0,NATIon-sTaTE,UnPaTcHeD SoftwARE,EnCryptioN,17.0,1717.02
India,2015.0,MaLwArE,EdUcAtion,64.29,,,  SocIal EnGineeriNg,VPN,5.0,31.68
AUsTrALiA,,,GOvErnMenT,98.05,,NAtion-StAte,Zero-day,ANTiVIrUs,31.0,
RusSiA,2021.0,RanSOmWare,TelEcommUniCatioNs,11.04,,NatiOn-StatE,WEak PasSwoRDs,VPN,49.0,483.03
InDiA,2018.0,SQL INjectioN,EduCAtIon#,52.05,874254.0,Nation-state,,  AntIVIrus  ,11.0,583.68
  GeRmAny,2020.0,MaN-in-the-MIddle,HEALThcare,,691190.0,NaTion-sTatE,UnpAtched SofTwaRE,FIRewAll,27.0,
CHina,2024.0,,IT#,61.42,412245.0,NaTIon-state#,,EncryPtIOn,48.0,29.07
FrANce,2021.0,Man-In-ThE-MiDDlE,HeAlTHCARe,53.77,302180.0,InsiDeR@,Weak PasswOrdS  ,,11.0,35.78
USA,2016.0,RaNsOmwarE,GovERNmeNt,8.21,537592.0,NATION-stATE,SocIaL ENgineeriNg, ANtiviruS  !,11.0,7.27
BRaZil,2022.0,SQL InjeCTION,REtail,,632061.0,NaTiOn-state,ZerO-dAy,AntiVIrUS#,2.0,13.76
BraZIl,,DDoS,  ReTail ,67.52,224815.0,NaTion-statE,Social EnGiNeeRing,FIREwalL,32.0,12.11
 IndIA  ,2022.0,DDoS,IT,,169310.0,UnknOwn,WeaK PassWorDS!,,36.0,
,2023.0,Man-iN-The-MIDdle,TeLeCoMmunIcations,86.98,,NatiOn-staTe,Social ENgineeRiNg,,72.0,51.83
UK,2022.0,RansomwAre,IT,63.67,560021.0,UnKNOwn,,EncryPtion,,77.58
,2021.0,MaN-In-the-MIddLE,GoverNmeNt,,768506.0,NaTIoN-State,Zero-day,AI-based DEteCTIon@,11.0,
AuSTraliA,2018.0,,HeaLthcarE,39.94,,,SOcIal ENGiNeerIng,,58.0,12.21
,2022.0,RansOmWAre,REtail,74.05,,HAcker GrOUp,  SoCial ENgiNeeriNG ,AI-BaSed DeTeCtIon,2.0,239.0
FrAnce,2020.0,DDOS,IT,,957779.0,Nation-STate,SoCIaL EnginEerIng,EncRyptIon,17.0,39.61
,2017.0, MALware@,,29.47,85644.0,HacKEr GRouP,SocIal ENgIneeRinG@,AI-based DeTectIon,,50.69
FrANcE,2019.0,,  TElecommunICaTIons,,561713.0,INSideR,UnpatcheD SOFtwarE,FirEWall,,150.24
,2017.0,PhiShINg,HeALthcare,,287762.0,InSIdEr,WeAk PassWorDs,,13.0,10.13
  IndiA  ,2015.0,PhiSHInG,HeALThcARe,,471550.0,UNknOwN,,VPN,,96.89
JaPAn ,2018.0,,,69.19,33209.0,INsider,UNpAtchEd SofTwARE  ,AI-BaseD DetectIoN,66.0,
CHina,2017.0,Phishing,Retail,45.83,395251.0,,UNPaTcHeD SofTware,,33.0,114.28
,2019.0,DDOS,IT,,491791.0,HackEr GrOup,ZeRo-day ,,,84.25
AUstRaLia,2016.0,PHIShiNG, HeAlThCaRe @,53.81,279874.0,HackEr Group,,,66.0,2171.02
FranCE,,MAlWare,IT#,71.94,881326.0,InsidEr@,UnpatChED SoftwaRe,FireWall,,20.98
,2023.0,DDoS@,IT#,68.86,749700.0,,,AI-based DetEction  ,35.0,24.62
UK,2022.0,PhIshIng,,97.56,722445.0,NatiON-State,WeaK PasswoRdS,Firewall,,21.44
USA,2023.0,RanSOMWare#,GoVeRnment,84.13,,Nation-StATE,ZerO-Day,AI-BaseD Detection,,
USA,2020.0,SQL InjeCtIoN,  GovERNmENT,40.95,803757.0,HaCker GRoup,SociAL EngiNeering,FIREwall,33.0,
JaPAn,2022.0,DDoS,IT,20.16,,InSiDer@,ZeRo-dAy,AI-baseD DeTeCTion!,60.0,324.9
Germany,2022.0,SQL INjeCtiOn,RETaIL,,857660.0,HackEr Group,ZEro-day,  VPN,37.0,459.78
UK,2020.0,SQL InJeCtiOn,,47.67,729265.0,Unknown,ZErO-day,Firewall,42.0,23.19
,2023.0,PhiSHiNg,ReTaiL,38.89,836604.0,HAcker GRoUp,,AI-based DetectIOn@,44.0,15.67
ChIna,,MALware,,91.69,885843.0,InsiDer,,AI-based DetecTion,46.0,110.73
 FranCE,2015.0,,,17.94,808798.0,UnkNOWn,SoCiaL EngiNEEriNG,ENCryPtiOn,60.0,23.85
RusSiA,2018.0,MAn-In-tHe-MiDdle@,TEleCommunIcAtIons,,401208.0,HacKer GrOup,UnPaTChed SOFTware,VPN,10.0,141.09
JaPAn,2021.0,RansoMwarE,HealthcaRe,77.33,380970.0,NatIOn-State,,ENcrYpTioN,44.0,74.02
USA,2021.0,PhishIng,,70.03,248437.0,,SociAl EngiNeerinG,ENCryPtioN,70.0,5.62
AusTralIA,2024.0,,REtaIl,66.49,709125.0,HacKer Group,Weak PasswordS,  AI-baSed DetEcTioN ,37.0,556.27
JApan,2018.0,MalWare,EducAtiOn,5.33,656250.0,HAcker Group,SocIal EnGineeRInG,FirewaLl!,,
,2020.0,RANsomware,HEalTHcare,10.46,32616.0,UnknoWn,,FIrewalL@,63.0,21.78
AUsTraLia ,,,HealthcAre,39.3,,Unknown,,FirewalL,3.0,30.52
INdia,2023.0,,,23.83,557428.0,,,VPN,38.0,83.83
JAPAn,2015.0,DDoS,BAnkiNg,59.13,182440.0,InSIder,ZERO-day,FiREwAll,,90.17
AUsTRAliA !,2021.0,,GoveRnmeNt,,,INSider,SocIal EngINeErinG !,EnCrYPtion,71.0,146.62
FRAncE,2017.0,,GovErnment,86.82,99728.0,NATion-staTE,UnpatcheD Software,VPN,44.0,1113.55
USA#,2015.0, DDoS ,IT,66.39,,InSidEr, WEak PaSswOrds ,VPN@,47.0,
Russia,,RaNSOMwaRE@,TeleCoMMunicaTions,61.11,,  NAtion-sTATe ,  ZerO-Day,,,16.49
,,Malware,  REtail ,7.65,864358.0,HAcKEr GrouP,,VPN,11.0,6.9
USA,2016.0,RanSomwarE,,9.82,610968.0,UNkNOWN,UNPaTCHed SoftWarE,AntivIRus,26.0,18.24
China,2016.0,DDOS,IT,67.28,413150.0,  HaCKer GrouP ,SoCial ENgiNeErINg,FirewalL,27.0,51.95
,,MalWAre,,13.14,681956.0,,SOcIal EngiNeeriNg,AntIvirus,35.0,805.8
,2016.0,MAn-in-tHe-MIDdLe,,84.46,94162.0,Unknown, Weak PAsswOrds#,FiRewall,15.0,25.12
FRance,2023.0,Man-In-ThE-MiddlE,Retail,9.43,565002.0,  HackeR GRoup  ,UnpatchEd SoFTwarE,Firewall,,76.38
FranCE@,2017.0,Phishing,,90.69,275185.0,NAtion-StatE,  ZeRO-dAy ,ENcrYPtioN#,20.0,53.27
Russia,,DDoS!,  REtail,37.47,476758.0, Hacker GrOup @,UnpAtcheD SofTware,AI-BAsEd DETECtioN,19.0,324.6
  USA ,2024.0,SQL INjeCTion,BankinG@,7.2,312607.0,  HacKeR GrOUp  , Weak PasswORds,ANtIviRuS,24.0,2417.28
RuSSia,2017.0,,BANkinG,94.15,963192.0,HacKEr GRouP@,WeaK PASswOrds,  VPN ,,24.62
  AuStRAlIA ,2015.0,MAlwARe,HealthCaRE,,680874.0,UNknown  ,,AnTivirus!,8.0,26.2
France  #,2018.0,DDoS,GOvernmenT,15.71,904770.0,HAcKEr Group,SociAl EnGiNeErINg,,4.0,261.45
USA,2022.0,  SQL InJEctIon  ,GoverNmEnT,98.46,429452.0,HaCkeR GROUp,WeaK PaSsworDS, ANTiviRUs,6.0,151.84
USA,2018.0,RAnsomWarE ,HealtHcarE,51.71,858128.0,HaCker GrOuP,,AntIvIrus ,35.0,871.37
 ChINa,2021.0, Malware  ,EdUCAtiOn,42.26,,NaTion-State,,ENcrypTION#,44.0,131.09
UK@,2019.0,PhIShIng  ,EducaTIon,99.45,467349.0,,Zero-day!,FirewAll,44.0,31.85
FrAncE!,,SQL InJECtiOn,REtail,63.74,235418.0,NatiOn-statE,WeaK PAsSwOrdS,Encryption,28.0,132.42
AustraLia,2017.0,SQL InjectioN,IT,,823606.0,InSiDer,,  ENcrypTIon ,25.0,
,2020.0,SQL InjEcTioN,IT,,,,UNpATCHeD SofTWare,FIrEwall,66.0,186.93
USA,2024.0,,,58.57,,Hacker Group,SOcial EnginEeRinG,AI-BaSed DEtecTiOn,64.0,116.85
,2015.0,SQL InjEction,Education,65.83,691903.0,,ZeRo-dAy,,54.0,270.43
,2019.0,Phishing,GoVeRnmEnt,79.79,,HaCkEr GROup  ,,FiRewALL,8.0,315.43
,2017.0,,BAnKiNG,90.5,42278.0,InSIdeR, Weak PASswoRDs  ,  AI-BAseD DEtECtIon !,45.0,
GeRmaNy,2016.0,PhIshing,IT,2.1,176471.0,UnknOwn,ZEro-daY,VPN,9.0,144.47
India,,SQL InJEctIOn,TelecoMMunications ,63.72,916516.0,,,EncrYption,68.0,42.49
Japan,2023.0,SQL InjecTiON,GoVeRnment,87.8,510002.0,HackeR GrouP,SocIaL ENGiNEeriNg,FireWaLL,62.0,68.04
,2015.0,MALWaRe,,82.45,435994.0,NatIon-statE,,EncryptiOn,,333.54
,2016.0,,IT,66.19,,HACKer GroUp,UNpatcheD SOftwAre,ENcryPtiON,55.0,16.03
RuSsIa,2022.0,,Banking,39.62,850339.0,Hacker GroUP,SOciAl EngiNeeriNg@,,,94.92
 JapAn,2021.0,,  GoVeRnMent ,35.46,,,ZErO-day,FireWaLL,10.0,30.26
,2020.0,MaLWare,  GoveRNMenT  ,10.62,405267.0,NATioN-stAtE,,AI-BAsED DetECtIon,5.0,57.0
  ChIna,2022.0,,GoverNMent,80.76,346279.0,UnkNown,Zero-Day,,,371.55
BraZIl,2016.0,DDoS,TelecoMMuNICatIoNS,10.45,,Nation-stAtE,ZEro-dAy,ENcryptIon,63.0,72.72
,2018.0,SQL InJectIon  ,HealTHcaRe@,0.95,376206.0,UnknoWn,, AntiVirUs  ,44.0,58.54
IndIa,2018.0,RansomWaRE,IT,27.14,227433.0,,UNpaTChed SOFtware,,13.0,7.1
 Germany,2023.0,RaNsOmWare,,,393779.0,,Weak PaSSwOrds, ENCrYpTIoN,39.0,167.23
RUsSia,2022.0,RanSoMWaRE,,41.08,529025.0,INsider  ,UNpATched SOftWarE,,42.0,143.77
,, MAn-in-the-MidDlE ,EduCatiOn,8.94,451311.0, Unknown ,WEAk PassWords,ENcrYPTioN,14.0,
India ,2017.0,,,98.11,677198.0,UnknowN  ,Social EnginEERING ,VPN,28.0,34.41
RUssia,2024.0,,HeaLthCAre,9.4,,NatioN-state,UNpatCHed SoftWaRe,,59.0,75.85
AUStRalIa,2015.0,,,46.39,605536.0,NAtioN-state,UnPatched SofTwarE  ,VPN,61.0,79.37
 BrAzil,2018.0,,BAnkIng,,910960.0,NatION-state, SOciAl EngiNeering@,,31.0,581.83
,2018.0,RAnsomWarE,BaNking,,386308.0, NaTioN-State ,WeAk PaSSworDs ,AnTIviRuS,3.0,47.33
,2017.0,Man-iN-tHe-MiDDlE,,54.38,100855.0,,SOCial EngIneering,  VPN,2.0,82.97
ChiNa,,,EduCatIon!,23.74,,  InSider ,SociaL EngineEring,ANTIViruS,18.0,135.89
USA,2018.0,DDOS,IT  ,,,,,FIReWall,59.0,72.23
  INdia,2015.0,,TelEcOmmunications,24.7,825941.0, HACKer GrouP,,VPN,54.0,27.95
ChIna,,MalwaRE,EducaTion,60.9,331234.0,UnknowN,SOcial ENGINeERing,Antivirus,,73.05
ChIna  ,2020.0,MaN-in-the-MidDle,TeLecoMmuNIcatIOns,14.61,,,UnpATched SOftWAre,AntIVirus,59.0,273.27
JApaN,2022.0,,TeleCOMMunICAtiOns,34.31,305329.0,UnknoWn,  UnPatched SoftwAre  ,FirewALl,40.0,11.71
,2020.0,PhIsHing, GoVErnmeNt ,32.39,442923.0,NAtion-state,SociAl ENgiNEERinG,EnCryptIOn,57.0,66.65
UK,,RaNSomwarE,BaNkiNG  ,79.3,,UnKNown @,SoCiAl Engineering,FIrewaLl,15.0,19.1
CHina,2020.0,,,,240532.0,,,EncrypTIon,64.0,327.85
